i,group,num interior,ratio
0,0,14,9
1,1,7,9
2,2,10,9
3,3,10,9
4,4,6,9
5,5,9,9
6,6,9,9
7,7,9,9
8,8,9,9
9,9,9,9
10,10,9,9
11,11,5,9
12,12,5,9
13,13,5,9
14,14,8,9
15,15,8,9
16,16,8,9
17,17,8,9
18,18,4,9
19,19,7,9
20,20,7,9
21,21,7,9
22,22,3,9
23,23,6,9
24,24,6,9
25,25,6,9
26,26,2,9
27,total,196,9
28,0,9,13
29,1,6,13
30,2,9,13
31,3,9,13
32,4,5,13
33,5,5,13
34,6,8,13
35,7,8,13
36,8,8,13
37,9,8,13
38,10,8,13
39,11,8,13
40,12,8,13
41,13,4,13
42,14,4,13
43,15,4,13
44,16,7,13
45,17,7,13
46,18,7,13
47,19,3,13
48,20,3,13
49,21,6,13
50,22,6,13
51,23,6,13
52,24,2,13
53,25,2,13
54,26,5,13
55,total,165,13
56,0,13,11
57,1,10,11
58,2,6,11
59,3,9,11
60,4,9,11
61,5,5,11
62,6,5,11
63,7,5,11
64,8,5,11
65,9,8,11
66,10,8,11
67,11,8,11
68,12,8,11
69,13,8,11
70,14,8,11
71,15,4,11
72,16,4,11
73,17,7,11
74,18,7,11
75,19,7,11
76,20,7,11
77,21,3,11
78,22,3,11
79,23,6,11
80,24,2,11
81,25,2,11
82,26,2,11
83,total,169,11
84,0,12,14
85,1,6,14
86,2,9,14
87,3,5,14
88,4,5,14
89,5,8,14
90,6,8,14
91,7,8,14
92,8,8,14
93,9,8,14
94,10,8,14
95,11,4,14
96,12,4,14
97,13,4,14
98,14,4,14
99,15,7,14
100,16,7,14
101,17,7,14
102,18,7,14
103,19,3,14
104,20,3,14
105,21,6,14
106,22,6,14
107,23,2,14
108,24,2,14
109,25,2,14
110,26,5,14
111,total,158,14
112,0,7,25
113,1,5,25
114,2,8,25
115,3,4,25
116,4,4,25
117,5,4,25
118,6,7,25
119,7,7,25
120,8,7,25
121,9,7,25
122,10,7,25
123,11,7,25
124,12,7,25
125,13,3,25
126,14,3,25
127,15,3,25
128,16,3,25
129,17,6,25
130,18,6,25
131,19,6,25
132,20,2,25
133,21,2,25
134,22,2,25
135,23,2,25
136,24,5,25
137,25,5,25
138,26,1,25
139,total,130,25
140,0,8,15
141,1,9,15
142,2,5,15
143,3,5,15
144,4,8,15
145,5,8,15
146,6,8,15
147,7,8,15
148,8,4,15
149,9,4,15
150,10,4,15
151,11,4,15
152,12,4,15
153,13,4,15
154,14,7,15
155,15,7,15
156,16,7,15
157,17,7,15
158,18,3,15
159,19,3,15
160,20,3,15
161,21,6,15
162,22,6,15
163,23,2,15
164,24,2,15
165,25,2,15
166,26,5,15
167,total,143,15
168,0,11,8
169,1,11,8
170,2,7,8
171,3,10,8
172,4,10,8
173,5,6,8
174,6,6,8
175,7,9,8
176,8,9,8
177,9,9,8
178,10,9,8
179,11,9,8
180,12,9,8
181,13,9,8
182,14,5,8
183,15,8,8
184,16,8,8
185,17,8,8
186,18,8,8
187,19,4,8
188,20,7,8
189,21,7,8
190,22,7,8
191,23,3,8
192,24,6,8
193,25,6,8
194,26,2,8
195,total,203,8
196,0,10,10
197,1,10,10
198,2,10,10
199,3,6,10
200,4,9,10
201,5,9,10
202,6,9,10
203,7,5,10
204,8,5,10
205,9,5,10
206,10,5,10
207,11,5,10
208,12,5,10
209,13,8,10
210,14,8,10
211,15,8,10
212,16,4,10
213,17,4,10
214,18,4,10
215,19,7,10
216,20,7,10
217,21,3,10
218,22,3,10
219,23,6,10
220,24,2,10
221,25,2,10
222,26,2,10
223,total,161,10
224,0,15,7
225,1,8,7
226,2,11,7
227,3,7,7
228,4,10,7
229,5,10,7
230,6,10,7
231,7,10,7
232,8,6,7
233,9,6,7
234,10,6,7
235,11,6,7
236,12,9,7
237,13,9,7
238,14,9,7
239,15,9,7
240,16,5,7
241,17,8,7
242,18,8,7
243,19,8,7
244,20,4,7
245,21,7,7
246,22,7,7
247,23,7,7
248,24,6,7
249,25,6,7
250,26,6,7
251,total,213,7
252,0,11,20
253,1,5,20
254,2,8,20
255,3,8,20
256,4,4,20
257,5,4,20
258,6,4,20
259,7,4,20
260,8,4,20
261,9,7,20
262,10,7,20
263,11,7,20
264,12,7,20
265,13,7,20
266,14,7,20
267,15,3,20
268,16,3,20
269,17,3,20
270,18,3,20
271,19,6,20
272,20,6,20
273,21,2,20
274,22,2,20
275,23,2,20
276,24,5,20
277,25,5,20
278,26,5,20
279,total,139,20
280,0,16,6
281,1,12,6
282,2,12,6
283,3,11,6
284,4,11,6
285,5,11,6
286,6,7,6
287,7,10,6
288,8,10,6
289,9,10,6
290,10,10,6
291,11,10,6
292,12,10,6
293,13,6,6
294,14,9,6
295,15,9,6
296,16,9,6
297,17,9,6
298,18,5,6
299,19,8,6
300,20,8,6
301,21,8,6
302,22,4,6
303,23,7,6
304,24,3,6
305,25,3,6
306,26,6,6
307,total,234,6
308,0,9,12
309,1,10,12
310,2,9,12
311,3,9,12
312,4,5,12
313,5,5,12
314,6,5,12
315,7,8,12
316,8,8,12
317,9,8,12
318,10,8,12
319,11,8,12
320,12,8,12
321,13,8,12
322,14,4,12
323,15,4,12
324,16,7,12
325,17,7,12
326,18,7,12
327,19,7,12
328,20,3,12
329,21,3,12
330,22,6,12
331,23,6,12
332,24,2,12
333,25,2,12
334,26,2,12
335,total,168,12
336,0,17,5
337,1,10,5
338,2,13,5
339,3,12,5
340,4,12,5
341,5,8,5
342,6,11,5
343,7,11,5
344,8,11,5
345,9,11,5
346,10,11,5
347,11,11,5
348,12,11,5
349,13,10,5
350,14,10,5
351,15,10,5
352,16,10,5
353,17,9,5
354,18,9,5
355,19,9,5
356,20,5,5
357,21,8,5
358,22,8,5
359,23,4,5
360,24,7,5
361,25,7,5
362,26,3,5
363,total,258,5
